Timestamp,Residents,Apartment_Type,Temperature,Humidity,Water_Price,Period_Consumption_Index,Income_Level,Guests,Amenities,Appliance_Usage,Water_Consumption
23/04/2003 08,3,3BHK,24.93,39.72,2.27,1.27,Upper Middle,1,Swimming Pool,0.0,277.04
28/10/2005 08,3,3BHK,28.79,NrYF;,1.75,1.33,Upper Middle,1,Jacuzzi,0.0,289.92
31/05/2007 00,5,Bungalow,12.09,38.62,2.27,1.19,Rich,0,,0.0,222.0
26/10/2006 00,3,1BHK,10.57,64.43,1.15,0.93,Middle,1,,0.0,93.46
30/11/2005 08,4,3BHK,10.36,67.71,1.65,1.19,Upper Middle,1,Fountain,0.0,212.34
26/12/2003 16,4,3BHK,10.38,44.61,2.76,0.9,Upper Middle,1,,0.0,149.66
07/04/2005 16,2,Cottage,12.92,63.74,-66.0,0.93,Middle,1,,0.0,78.12
02/12/2003 16,4,Bungalow,16.76,39.97,2.83,0.82,Upper Middle,0,Garden,0.0,117.88
08/06/2009 08,2,Studio,34.07,33.85,1.55,1.5,Low,0,,0.0,121.38
26/11/2007 08,4,Detached,14.81,39.62,1.51,0.95,Rich,0,Garden,0.0,186.96
04/06/2004 08,3,Bungalow,27.73,51.85,2.55,1.02,Upper Middle,1,Garden,0.0,153.76
07/05/2005 16,3,Detached,12.55,39.58,2.11,0.91,Rich,0,Swimming Pool,0.0,178.43
07/10/2003 16,5,3BHK,10.45,60.03,2.62,1.14,Upper Middle,1,Swimming Pool,0.0,256.48
29/05/2009 16,5,2BHK,32.78,53.38,1.39,1.16,Middle,0,Fountain,1.0,259.64
25/03/2007 00,5,3BHK,14.48,59.85,2.8,0.87,Upper Middle,0,Swimming Pool,0.0,167.12
26/09/2014 00,2,1BHK,30.46,48.97,1.28,1.07,Low,0,,0.0,86.07
05/11/2007 08,4,2BHK,20.92,60.74,1.53,1.25,Middle,0,,1.0,172.41
02/09/2006 16,3,Cottage,25.39,65.16,1.02,1.07,Middle,0,Swimming Pool,0.0,132.23
26/11/2008 16,5,2BHK,,62.67,1.66,1.43,Middle,1,Swimming Pool,0.0,282.5
26/07/2009 16,3,,29.25,40.14,1.65,1.46,Middle,1,Garden,0.0,172.35
10/09/2002 16,2,Cottage,13.88,38.07,-33.0,1.36,Middle,0,Jacuzzi,0.0,140.5
08/10/2013 16,4,Bungalow,17.07,44.38,2.42,1.2,Upper Middle,0,,0.0,164.12
04/10/2002 08,2,1BHK,32.74,37.74,1.29,0.84,Low,0,,0.0,73.82
22/06/2010 16,5,Bungalow,26.26,44.13,1.82,0.93,Upper Middle,0,,0.0,163.25
02/08/2008 16,3,1BHK,31.86,51.92,1.46,1.19,Middle,1,Fountain,0.0,184.42
19/05/2005 08,2,Cottage,14.59,49.73,1.27,1.06,Middle,0,,0.0,83.42
13/04/2011 08,3,2BHK,14.44,33.74,1.15,1.43,Middle,0,Jacuzzi,0.0,209.7
26/03/2004 16,3,2BHK,14.23,50.36,1.36,1.37,Middle,0,Jacuzzi,0.0,177.79
24/09/2012 00,4,2BHK,14.47,53.97,2.93,0.99,Upper Middle,0,Fountain,0.0,145.07
07/07/2012 16,3,1BHK,17.03,41.45,1.31,1.31,Middle,1,,0.0,161.67
22/04/2007 16,2,1BHK,13.75,65.5,1.33,1.33,Middle,1,Swimming Pool,0.0,144.03
26/11/2010 16,2,1BHK,29.4,46.45,1.11,0.97,Low,0,,1.0,91.66
24/04/2011 16,-33,Detached,34.03,35.78,1.51,0.85,"5$,Ry",0,Swimming Pool,1.0,325.62
04/07/2009 00,3,1BHK,31.96,48.66,1.67,1.23,Middle,1,Fountain,0.0,192.23
15/05/2009 08,2,Cottage,,50.28,1.62,0.3407845722238625,Middle,0,Jacuzzi,,107.5
08/10/2005 08,4,Detached,11.31,52.66,1.71,0.86,Rich,0,Jacuzzi,,203.26
18/01/2006 16,4,Detached,22.87,58.54,2.93,1.38,Rich,0,,0.0,226.26
02/05/2003 08,-88,Bungalow,12.49,59.66,1.93,1.01,ZTqLe,-1,,0.0,141.26
07/02/2008 00,4,3BHK,13.13,60.61,1.81,1.42,Upper Middle,0,Swimming Pool,1.0,283.16
11/10/2008 00,3,1BHK,32.41,40.7,1.6,0.87,Low,0,Garden,0.0,95.25
10/07/2006 08,2,Cottage,27.14,66.2,1.5,1.07,Middle,0,,0.0,82.01
16/01/2006 08,4,3BHK,34.81,68.68,2.86,1.35,Rich,1,Jacuzzi,0.0,339.95
04/08/2008 08,2,Cottage,32.69,49.69,1.57,1.37,Middle,1,Garden,0.0,154.27
29/05/2010 08,4,2BHK,29.97,34.11,-66.0,1.12,Middle,1,,0.0,205.72
14/10/2012 08,5,,31.29,61.43,2.42,1.27,Upper Middle,-1,Garden,0.0,210.39
13/12/2012 00,-33,Cottage,11.97,59.75,1.61,1.27,Middle,1,Garden,1.0,158.11
15/03/2012 00,3,1BHK,21.94,61.11,1.65,0.93,Middle,0,Garden,1.0,104.31
10/06/2004 00,-77,Bungalow,17.0,67.81,1.7,0.98,Rich,1,Swimming Pool,0.0,217.87
14/02/2002 16,3,Bungalow,33.58,50.6,2.38,1.03,Upper Middle,1,Jacuzzi,0.0,196.14
20/06/2009 16,3,2BHK,15.55,70.53,1.56,1.07,Upper Middle,1,Jacuzzi,1.0,183.83
02/02/2008 08,3,2BHK,27.48,46.92,1.82,1.44,Upper Middle,1,,0.0,220.3
19/12/2013 08,3,Bungalow,21.71,44.11,2.41,1.01,Upper Middle,1,,0.0,145.78
03/09/2004 08,4,3BHK,34.8,46.32,2.85,1.08,Rich,0,Fountain,0.0,252.95
17/10/2010 16,2,Cottage,25.74,52.14,1.2,1.12,Middle,0,,1.0,109.25
02/06/2005 08,3,Cottage,31.8,63.9,1.63,0.82,Middle,0,Fountain,0.0,96.04
24/09/2002 08,4,,12.24,49.18,1.71,1.21,Upper Middle,1,Jacuzzi,0.0,239.54
17/02/2009 16,5,Bungalow,32.1,54.72,2.21,1.35,Upper Middle,0,Jacuzzi,0.0,284.12
23/04/2009 08,2,Cottage,14.48,56.77,1.1,1.4,Middle,0,Fountain,0.0,126.25
06/05/2013 16,3,1BHK,,63.12,1.49,1.27,,0,Swimming Pool,1.0,162.75
23/05/2002 08,2,Cottage,24.81,42.52,1.72,1.38,Middle,1,Garden,0.0,152.38
11/01/2010 00,5,Bungalow,24.38,60.59,2.9,1.35,Rich,1,Garden,0.0,294.29
08/12/2005 16,5,Bungalow,16.18,52.65,1.83,1.26,Rich,0,Fountain,0.0,272.59
02/04/2010 08,-88,2BHK,18.29,43.63,2.74,1.09,Upper Middle,0,Jacuzzi,0.0,214.99
09/07/2008 16,3,Detached,26.86,45.75,2.82,1.35,Rich,1,Swimming Pool,0.0,330.88
02/12/2008 16,3,3BHK,34.29,66.59,2.25,0.92,Upper Middle,2,,1.0,158.23
01/06/2013 08,5,2BHK,32.72,54.85,1.15,1.26,Middle,0,,1.0,234.59
08/09/2008 16,3,1BHK,19.64,49.65,1.31,0.82,Middle,1,Swimming Pool,0.0,127.58
23/02/2003 08,4,,24.65,43.71,1.77,1.0,Upper Middle,0,,0.0,164.26
16/05/2014 16,3,1BHK,22.55,49.92,1.07,1.08,Low,0,Garden,0.0,105.27
06/09/2014 08,5,3BHK,33.43,59.88,2.19,1.44,Rich,0,Swimming Pool,0.0,394.72
21/08/2007 16,3,2BHK,22.77,51.27,1.22,0.96,Middle,0,Garden,0.0,112.74
23/05/2006 08,4,2BHK,21.03,55.79,1.16,0.83,Middle,0,Garden,0.0,111.05
22/10/2012 00,3,3BHK,30.43,44.39,2.19,0.86,Upper Middle,0,Jacuzzi,0.0,153.09
11/05/2010 08,4,3BHK,30.95,53.69,2.98,0.84,Upper Middle,0,Fountain,0.0,154.1
12/02/2004 16,4,2BHK,23.15,41.94,1.94,0.81,Upper Middle,1,,0.0,144.74
02/09/2008 08,-55,Bungalow,28.08,54.17,1.63,1.49,Upper Middle,0,,1.0,211.39
23/09/2011 08,3,1BHK,26.37,61.57,1.09,0.85,Low,1,Fountain,0.0,108.39
15/11/2009 16,2,Cottage,11.13,58.53,1.04,0.93,Middle,0,,0.0,66.99
18/03/2013 16,2,Cottage,23.13,45.01,1.58,0.93,Middle,0,,0.0,79.68
17/04/2014 08,4,2BHK,20.97,65.2,1.22,1.21,Middle,0,,0.0,143.47
19/09/2009 16,5,3BHK,18.04,58.31,1.88,1.19,Upper Middle,0,Swimming Pool,0.0,252.32
05/05/2006 00,3,1BHK,12.24,52.01,1.72,1.29,Middle,1,Swimming Pool,0.0,181.43
01/10/2004 16,3,1BHK,16.81,60.13,1.38,1.49,Low,0,Garden,,146.32
19/04/2014 08,4,2BHK,27.04,42.75,1.45,1.32,Middle,0,,0.0,188.65
18/09/2007 16,3,2BHK,14.43,68.86,1.38,1.09,Middle,1,Swimming Pool,0.0,155.71
29/03/2008 16,5,3BHK,28.13,53.62,1.7,0.9,Upper Middle,0,,1.0,190.12
23/05/2012 00,3,1BHK,16.3,65.15,1.66,0.95,Middle,0,,0.0,81.39
11/02/2005 00,4,2BHK,25.08,60.4,1.01,1.09,Middle,0,,1.0,160.73
08/05/2002 00,3,2BHK,23.41,70.05,1.82,0.88,Upper Middle,0,Garden,,97.12
30/10/2010 08,2,Cottage,20.26,63.57,1.02,1.35,Middle,0,,1.0,117.65
16/11/2007 00,5,Bungalow,,56.05,-22.0,1.12,Upper Middle,1,,,265.95
18/07/2004 08,5,2BHK,24.35,62.43,1.74,0.93,Upper Middle,1,,0.0,171.59
17/09/2011 00,2,Cottage,22.02,47.89,1.72,1.38,Middle,1,Swimming Pool,1.0,204.31
01/01/2002 00,1,Studio,15.31,46.61,1.06,0.97,Low,0,Swimming Pool,0.0,64.85
03/03/2008 00,3,1BHK,18.85,50.95,1.58,1.41,Middle,0,,0.0,136.52
16/06/2010 00,3,2BHK,24.67,59.93,2.6,1.18,Upper Middle,0,Garden,1.0,156.14
16/01/2010 08,4,Detached,18.25,58.17,2.46,0.82,Rich,1,,1.0,182.78
15/08/2008 08,3,1BHK,11.98,71.4,1.48,1.17,,0,Garden,1.0,112.09
15/09/2012 00,5,Bungalow,33.17,71.33,1.86,0.93,Upper Middle,0,,0.0,142.35
21/12/2011 16,5,2BHK,26.06,32.59,2.28,1.03,Upper Middle,1,Jacuzzi,0.0,284.43
14/04/2011 00,4,Bungalow,12.43,55.86,1.83,1.27,Rich,0,Fountain,0.0,226.26
23/04/2008 08,4,Bungalow,23.31,64.41,1.88,1.14,Rich,0,Swimming Pool,0.0,225.93
13/02/2008 08,4,Detached,12.8,55.78,2.1,0.92,Rich,0,Jacuzzi,0.0,183.87
03/07/2011 00,3,1BHK,18.48,41.35,1.75,1.01,Middle,0,Swimming Pool,,133.64
15/08/2014 16,3,Detached,20.65,55.11,2.32,1.03,Rich,0,Swimming Pool,0.0,193.29
28/05/2007 08,4,Bungalow,29.22,53.91,2.16,0.82,Upper Middle,0,,0.0,117.95
29/11/2009 08,5,2BHK,30.64,42.02,-66.0,1.08,Upper Middle,0,,0.0,194.46
29/06/2013 08,3,2BHK,11.84,vMIh\,1.98,1.09,Upper Middle,1,Jacuzzi,0.0,155.0
04/11/2003 16,-55,Bungalow,26.49,66.07,3.0,1.36,Rich,1,,0.0,273.27
13/09/2006 00,3,2BHK,32.23,)[NzM,1.44,1.2,Middle,0,,1.0,176.39
11/01/2014 16,3,Bungalow,11.93,68.11,2.01,1.07,Upper Middle,1,Fountain,1.0,169.26
07/04/2009 00,-55,Studio,32.84,58.06,-11.0,1.17,Low,0,Fountain,0.0,77.08
02/02/2007 16,2,Studio,31.64,40.59,1.31,1.01,Low,2,Fountain,0.0,112.51
14/08/2006 00,5,Bungalow,14.99,58.95,1.61,1.37,5wR+[,0,,1.0,230.1
28/08/2007 00,3,3BHK,34.1,48.25,1.74,0.81,Upper Middle,0,,0.0,117.77
12/10/2012 16,4,2BHK,13.95,64.76,1.49,1.3,Middle,0,Jacuzzi,1.0,205.65
20/08/2013 08,2,Studio,22.75,56.32,1.77,0.91,Low,0,,0.0,57.62
24/09/2007 08,4,2BHK,26.03,55.45,1.3,0.1910317016036322,,0,,0.0,107.3
30/05/2010 08,3,2BHK,10.32,54.35,1.35,1.41,Middle,1,,0.0,165.48
24/02/2010 00,3,Detached,15.31,45.92,2.85,1.37,Rich,0,Fountain,0.0,233.72
26/08/2012 16,5,Bungalow,20.77,39.62,-88.0,1.39,Upper Middle,0,Garden,0.0,253.37
06/11/2005 00,2,1BHK,13.6,54.85,1.15,1.16,Low,1,Fountain,0.0,113.77
30/09/2011 16,4,Bungalow,24.3,68.26,1.92,1.3,Upper Middle,0,Fountain,1.0,225.77
09/12/2005 08,5,Bungalow,12.13,50.12,2.62,1.21,Upper Middle,0,,1.0,199.88
21/04/2006 08,3,1BHK,29.54,54.47,1.52,1.34,Middle,1,Swimming Pool,0.0,216.38
26/10/2008 08,3,3BHK,15.65,53.96,2.99,1.41,Upper Middle,0,Fountain,0.0,192.3
14/03/2002 00,5,2BHK,30.87,47.77,1.65,1.11,Middle,1,,0.0,217.51
12/09/2011 00,3,3BHK,14.19,68.88,3.0,1.15,Upper Middle,0,Swimming Pool,0.0,150.51
01/03/2006 00,2,Cottage,25.01,59.81,1.67,1.31,Middle,1,,,123.08
12/04/2005 08,1,Studio,11.11,64.85,1.55,1.43,Low,0,,0.0,60.54
13/04/2012 08,5,2BHK,29.77,39.94,1.54,1.13,Middle,0,,1.0,221.67
12/06/2005 16,2,1BHK,13.02,62.06,1.35,1.22,Middle,0,,0.0,86.53
16/10/2002 16,4,Bungalow,10.31,62.88,2.37,1.29,Rich,1,Jacuzzi,0.0,259.8
28/07/2008 08,5,,17.34,51.84,1.51,1.38,Middle,0,,1.0,227.16
15/01/2002 08,4,Bungalow,11.12,35.54,2.18,0.1446200871128244,Upper Middle,0,,0.0,112.7
06/01/2002 16,4,,28.03,48.72,1.55,1.33,Middle,0,,1.0,210.84
23/01/2010 00,3,1BHK,18.2,44.78,1.52,1.16,Low,1,,1.0,145.31
22/03/2014 16,5,3BHK,15.09,50.85,1.65,1.44,Upper Middle,0,Garden,0.0,254.77
20/09/2003 16,2,Cottage,18.58,37.64,1.12,1.01,Middle,1,,0.0,106.69
30/07/2007 00,4,3BHK,26.93,44.81,1.63,1.09,Upper Middle,1,Swimming Pool,1.0,328.21
05/07/2010 00,4,3BHK,20.01,64.52,2.92,1.27,Upper Middle,0,Garden,0.0,173.05
07/04/2005 00,2,Cottage,20.18,49.62,1.55,1.12,Middle,1,Garden,0.0,114.61
09/07/2013 08,3,1BHK,18.25,66.73,1.01,1.26,@@ApE,0,,0.0,100.4
03/12/2009 00,3,Cottage,29.32,49.0,1.44,1.28,Middle,1,,1.0,190.02
13/06/2013 00,2,1BHK,10.63,51.71,1.67,1.48,Low,0,Garden,0.0,102.13
01/01/2008 16,3,2BHK,16.88,56.32,1.04,0.89,Middle,0,Garden,0.0,97.45
22/10/2012 08,2,Cottage,,52.11,1.64,1.17,Middle,1,Swimming Pool,0.0,136.38
04/02/2009 00,3,1BHK,12.08,66.17,1.21,1.24,Middle,0,,0.0,103.55
06/09/2012 16,3,Bungalow,10.33,50.92,-33.0,1.16,Upper Middle,0,Swimming Pool,0.0,159.41
12/07/2013 08,4,3BHK,11.14,48.17,-22.0,1.17,Rich,0,Garden,0.0,208.87
25/08/2007 08,3,Detached,21.31,52.34,1.51,1.21,Rich,1,Swimming Pool,0.0,290.4
22/07/2014 08,3,Bungalow,20.17,56.41,1.88,0.82,Upper Middle,1,Garden,0.0,115.97
24/05/2007 16,5,2BHK,26.77,57.98,2.6,1.32,Upper Middle,0,Fountain,0.0,244.01
09/08/2005 00,3,3BHK,20.05,67.53,2.38,1.32,Rich,1,Swimming Pool,0.0,268.73
11/11/2013 08,5,2BHK,14.0,46.22,1.49,1.07,Middle,1,Fountain,0.0,223.94
28/09/2009 08,5,2BHK,17.42,59.06,1.26,1.46,Middle,0,Garden,0.0,211.76
21/11/2013 08,2,1BHK,20.22,66.21,1.49,1.27,"+k*e""",0,Garden,0.0,86.61
16/12/2010 08,3,Cottage,15.39,51.09,1.41,1.07,Middle,0,,0.0,101.21
28/03/2002 08,4,2BHK,23.55,37.47,1.27,1.28,Middle,0,,0.0,185.83
28/05/2002 16,1,Studio,27.21,51.89,1.14,1.25,Low,1,,1.0,93.77
19/03/2010 16,3,2BHK,17.16,50.14,2.13,1.26,Upper Middle,1,Garden,0.0,179.37
01/06/2014 16,3,3BHK,34.68,49.56,2.53,1.22,,0,,0.0,169.69
08/07/2006 08,3,Cottage,25.07,90.0,1.24,1.39,>JaRp,0,Jacuzzi,0.0,133.02
27/06/2002 08,5,Bungalow,18.79,67.61,1.65,0.91,Rich,0,Fountain,0.0,183.21
04/09/2012 08,3,Bungalow,15.45,50.39,2.38,1.03,Rich,0,Fountain,0.0,159.99
09/06/2011 00,3,1BHK,23.84,54.98,1.59,0.84,Low,1,,0.0,88.87
29/05/2006 08,2,1BHK,16.8,39.8,1.73,1.35,Low,0,,0.0,101.02
30/09/2011 08,3,1BHK,,47.42,1.07,0.92,Middle,1,,0.0,117.3
15/05/2014 08,2,Cottage,23.44,49.19,1.09,1.04,Middle,0,Fountain,1.0,122.74
16/11/2012 08,3,2BHK,25.14,m_]+=,2.59,0.82,Upper Middle,0,Garden,0.0,91.96
23/09/2013 08,3,1BHK,11.47,54.6,1.52,1.41,hZ[P8,1,Fountain,0.0,180.56
24/05/2002 08,4,Bungalow,17.17,64.24,2.36,1.17,Upper Middle,1,Jacuzzi,0.0,209.86
09/02/2007 00,3,2BHK,17.39,50.02,-66.0,0.96,Upper Middle,0,Fountain,0.0,130.85
09/05/2009 16,2,1BHK,30.74,51.86,1.6,1.33,Low,0,,,104.05
16/02/2004 00,3,1BHK,19.82,55.46,1.49,1.34,Middle,0,Jacuzzi,0.0,159.58
03/05/2006 08,3,3BHK,17.09,65.94,1.7,0.98,Upper Middle,0,,1.0,127.26
26/09/2005 00,5,Bungalow,34.66,53.67,2.6,1.26,Upper Middle,0,Fountain,0.0,254.59
12/07/2002 08,4,,21.42,62.9,1.07,1.37,Middle,1,,0.0,200.54
